,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose,label
109,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,11,0.0,false,false,false,false,false,2022-01-11,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5891999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
119,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,12,0.0,false,false,false,false,false,2022-01-12,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5873999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
128,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,13,0.0,false,false,false,false,false,2022-01-13,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5855999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
138,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,14,0.0,false,true,false,false,false,2022-01-14,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5837999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
148,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,15,0.0,false,false,false,false,false,2022-01-15,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5819999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
159,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,16,0.0,false,false,false,false,false,2022-01-16,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5801999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
168,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,17,0.0,false,false,false,false,false,2022-01-17,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5783999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
178,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,18,0.0,false,false,false,false,false,2022-01-18,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5765999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
189,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,19,0.0,false,false,false,false,false,2022-01-19,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5747999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
199,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,20,0.0,false,false,false,false,false,2022-01-20,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5729999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
