,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose
382,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,39,0.0,false,false,false,false,false,08/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5638138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
392,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,40,0.0,false,false,false,false,false,09/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5620138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
402,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,41,0.0,false,false,false,false,false,10/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5602138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
412,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,42,0.0,false,true,false,false,false,11/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5584138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
422,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,43,0.0,false,false,false,false,false,12/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5566138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
432,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,44,0.0,false,false,false,false,false,13/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5548138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
442,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,45,0.0,false,false,false,false,false,14/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5530138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
452,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,46,0.0,false,false,false,false,false,15/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5512138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
462,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,47,0.0,false,false,false,false,false,16/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5494138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
472,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,48,0.0,false,false,false,false,false,17/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5476138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
482,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,49,0.0,false,true,false,false,false,18/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5458138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
492,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,50,0.0,false,false,false,false,false,19/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5440138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
502,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,51,0.0,false,false,false,false,false,20/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5422138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
512,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,52,0.0,false,false,false,false,false,21/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5404138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
522,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,53,0.0,false,false,false,false,false,22/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5386138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
532,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,54,0.0,false,false,false,false,false,23/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5368138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
542,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,55,0.0,false,false,false,false,false,24/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5350138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
552,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,56,0.0,false,true,false,false,false,25/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5332138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
562,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,57,0.0,false,false,false,false,false,26/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5314138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
572,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,58,0.0,false,false,false,false,false,27/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5296138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
582,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,59,0.0,false,false,false,false,false,28/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5278138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
592,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,60,0.0,false,false,false,false,false,01/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5260138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
602,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,61,0.0,false,false,false,false,false,02/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5242138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
612,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,62,0.0,false,false,false,false,false,03/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5224138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
622,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,63,0.0,false,true,false,false,false,04/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5206138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
632,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,64,0.0,false,false,false,false,false,05/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5188138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
642,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,65,0.0,false,false,false,false,false,06/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5170138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
652,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,66,0.0,false,false,false,false,false,07/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5152138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
662,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,67,0.0,false,false,false,false,false,08/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5134138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
672,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,68,0.0,false,false,false,false,false,09/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5116138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
682,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,69,0.0,false,false,false,false,false,10/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5098138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
692,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,70,0.0,false,true,false,false,false,11/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5080138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
702,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,71,0.0,false,false,false,false,false,12/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5062138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
712,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,72,0.0,false,false,false,false,false,13/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5044138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
722,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,73,0.0,false,false,false,false,false,14/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5026138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
732,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,74,0.0,false,false,false,false,false,15/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5008138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
742,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,75,0.0,false,false,false,false,false,16/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,4990138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
752,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,76,0.0,false,false,false,false,false,17/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,4972138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
762,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,77,0.0,false,true,false,false,false,18/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,4954138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
772,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,78,0.0,false,false,false,false,false,19/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,4936138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
781,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,79,0.0,false,false,false,false,false,20/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,4918138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
791,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,80,0.0,false,false,false,false,false,21/03/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,4900138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
