,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose
102,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,11,0.0,false,false,false,false,false,11/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6142138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
112,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,12,0.0,false,false,false,false,false,12/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6124138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
122,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,13,0.0,false,false,false,false,false,13/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6106138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
132,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,14,0.0,false,true,false,false,false,14/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6088138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
142,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,15,0.0,false,false,false,false,false,15/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6070138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
152,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,16,0.0,false,false,false,false,false,16/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6052138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
162,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,17,0.0,false,false,false,false,false,17/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6034138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
172,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,18,0.0,false,false,false,false,false,18/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,6016138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
182,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,19,0.0,false,false,false,false,false,19/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5998138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
192,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,20,0.0,false,false,false,false,false,20/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5980138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
